,team1,team2,score1,score2,time_completed,round_info,tournament_name,match_page,tournament_icon
10,Thunderbolts Gaming,1907 Fenerbahçe Esports,13,10,2d 12h ago,Group Stage-Group B,Open Fire Legacy,/60856/thunderbolts-gaming-vs-1907-fenerbah-e-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
11,Action PH,Alter Ego,0,2,2d 15h ago,Playoffs-Upper Final,The Esports Club - Challenger Series 6,/56821/action-ph-vs-alter-ego-the-esports-club-challenger-series-6-ubf,https://owcdn.net/img/61b930626ebac.png
12,Global Esports,Fallen5,0,2,2d 19h ago,Playoffs-Lower Round 3,The Esports Club - Challenger Series 6,/56827/global-esports-vs-fallen5-the-esports-club-challenger-series-6-lr3,https://owcdn.net/img/61b930626ebac.png
13,TSM Academy,Radiance,0,2,3d 0h ago,Playoffs-Grand Final,Nerd Street Gamers Winter Championship - Open 10,/60661/tsm-academy-vs-radiance-nerd-street-gamers-winter-championship-open-10-gf,https://owcdn.net/img/61679a1bab823.png
14,TSM Academy,Pioneers,2,1,3d 2h ago,Playoffs-Semifinals,Nerd Street Gamers Winter Championship - Open 10,/60659/tsm-academy-vs-pioneers-nerd-street-gamers-winter-championship-open-10-sf,https://owcdn.net/img/61679a1bab823.png
15,Radiance,Renegades,2,0,3d 2h ago,Playoffs-Semifinals,Nerd Street Gamers Winter Championship - Open 10,/60660/radiance-vs-renegades-nerd-street-gamers-winter-championship-open-10-sf,https://owcdn.net/img/61679a1bab823.png
16,TSM Academy,Soniqs,2,0,3d 5h ago,Playoffs-Quarterfinals,Nerd Street Gamers Winter Championship - Open 10,/60655/tsm-academy-vs-soniqs-nerd-street-gamers-winter-championship-open-10-qf,https://owcdn.net/img/61679a1bab823.png
17,Betrayed's Fantasy Team,Pioneers,0,2,3d 5h ago,Playoffs-Quarterfinals,Nerd Street Gamers Winter Championship - Open 10,/60656/betrayeds-fantasy-team-vs-pioneers-nerd-street-gamers-winter-championship-open-10-qf,https://owcdn.net/img/61679a1bab823.png
18,Radiance,Built By Gamers Academy,2,0,3d 5h ago,Playoffs-Quarterfinals,Nerd Street Gamers Winter Championship - Open 10,/60657/radiance-vs-built-by-gamers-academy-nerd-street-gamers-winter-championship-open-10-qf,https://owcdn.net/img/61679a1bab823.png
19,Renegades,VIRTUOSO,2,0,3d 5h ago,Playoffs-Quarterfinals,Nerd Street Gamers Winter Championship - Open 10,/60658/renegades-vs-virtuoso-nerd-street-gamers-winter-championship-open-10-qf,https://owcdn.net/img/61679a1bab823.png
20,Regnum Carya Esports,Thunderbolts Gaming,13,3,3d 8h ago,Group Stage-Group B,Open Fire Legacy,/60716/regnum-carya-esports-vs-thunderbolts-gaming-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
21,Futbolist,1907 Fenerbahçe Esports,5,13,3d 8h ago,Group Stage-Group B,Open Fire Legacy,/60715/futbolist-vs-1907-fenerbah-e-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
22,Besiktas Esports,Team Demiral Esports,4,13,3d 9h ago,Group Stage-Group B,Open Fire Legacy,/60714/besiktas-esports-vs-team-demiral-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
23,Futbolist,Thunderbolts Gaming,11,13,3d 10h ago,Group Stage-Group B,Open Fire Legacy,/60713/futbolist-vs-thunderbolts-gaming-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
24,Regnum Carya Esports,Team Demiral Esports,8,13,3d 11h ago,Group Stage-Group B,Open Fire Legacy,/60712/regnum-carya-esports-vs-team-demiral-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
25,Besiktas Esports,1907 Fenerbahçe Esports,13,10,3d 12h ago,Group Stage-Group B,Open Fire Legacy,/60711/besiktas-esports-vs-1907-fenerbah-e-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
26,Morph Impact,Fallen5,1,2,3d 15h ago,Playoffs-Lower Round 2,The Esports Club - Challenger Series 6,/56826/morph-impact-vs-fallen5-the-esports-club-challenger-series-6-lr2,https://owcdn.net/img/61b930626ebac.png
27,Enigma Gaming,Global Esports,0,2,3d 19h ago,Playoffs-Lower Round 2,The Esports Club - Challenger Series 6,/56825/enigma-gaming-vs-global-esports-the-esports-club-challenger-series-6-lr2,https://owcdn.net/img/61b930626ebac.png
28,TSM Academy,Team Reckaroo,2,1,4d 1h ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship - Open 10,/60647/tsm-academy-vs-team-reckaroo-nerd-street-gamers-winter-championship-open-10-ro16,https://owcdn.net/img/61679a1bab823.png
29,ex-FLICKBAITERS,Soniqs,1,2,4d 1h ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship - Open 10,/60648/ex-flickbaiters-vs-soniqs-nerd-street-gamers-winter-championship-open-10-ro16,https://owcdn.net/img/61679a1bab823.png
30,Betrayed's Fantasy Team,GunsForHire,2,0,4d 1h ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship - Open 10,/60649/betrayeds-fantasy-team-vs-gunsforhire-nerd-street-gamers-winter-championship-open-10-ro16,https://owcdn.net/img/61679a1bab823.png
31,Pioneers,ex-Limit,2,0,4d 1h ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship - Open 10,/60650/pioneers-vs-ex-limit-nerd-street-gamers-winter-championship-open-10-ro16,https://owcdn.net/img/61679a1bab823.png
32,Radiance,303 Esports,2,0,4d 1h ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship - Open 10,/60651/radiance-vs-303-esports-nerd-street-gamers-winter-championship-open-10-ro16,https://owcdn.net/img/61679a1bab823.png
33,Built By Gamers Academy,Team Flux,2,0,4d 1h ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship - Open 10,/60652/built-by-gamers-academy-vs-team-flux-nerd-street-gamers-winter-championship-open-10-ro16,https://owcdn.net/img/61679a1bab823.png
34,Renegades,Pho Real,2,0,4d 1h ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship - Open 10,/60653/renegades-vs-pho-real-nerd-street-gamers-winter-championship-open-10-ro16,https://owcdn.net/img/61679a1bab823.png
35,Project A,VIRTUOSO,1,2,4d 1h ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship - Open 10,/60654/project-a-vs-virtuoso-nerd-street-gamers-winter-championship-open-10-ro16,https://owcdn.net/img/61679a1bab823.png
36,Pioneers,Cloud9 Academy,13,4,4d 2h ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship - Open 10,/60777/pioneers-vs-cloud9-academy-nerd-street-gamers-winter-championship-open-10-r3,https://owcdn.net/img/61679a1bab823.png
37,Built By Gamers Academy,Kowareta,13,10,4d 2h ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship - Open 10,/60778/built-by-gamers-academy-vs-kowareta-nerd-street-gamers-winter-championship-open-10-r3,https://owcdn.net/img/61679a1bab823.png
38,Soniqs,Oni Fans,13,5,4d 2h ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship - Open 10,/60779/soniqs-vs-oni-fans-nerd-street-gamers-winter-championship-open-10-r3,https://owcdn.net/img/61679a1bab823.png
39,Trash Pandas,TSM Academy,1,13,4d 2h ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship - Open 10,/60780/trash-pandas-vs-tsm-academy-nerd-street-gamers-winter-championship-open-10-r3,https://owcdn.net/img/61679a1bab823.png
40,Awaken,Renegades,1,13,4d 2h ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship - Open 10,/60787/awaken-vs-renegades-nerd-street-gamers-winter-championship-open-10-r3,https://owcdn.net/img/61679a1bab823.png
41,ex-FLICKBAITERS,Bait Academy,11,13,4d 2h ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship - Open 10,/60790/ex-flickbaiters-vs-bait-academy-nerd-street-gamers-winter-championship-open-10-r3,https://owcdn.net/img/61679a1bab823.png
42,GunsForHire,Pioneers,5,13,4d 3h ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship - Open 10,/60760/gunsforhire-vs-pioneers-nerd-street-gamers-winter-championship-open-10-r2,https://owcdn.net/img/61679a1bab823.png
43,Cloud9 Academy,Able Esports,15,17,4d 3h ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship - Open 10,/60761/cloud9-academy-vs-able-esports-nerd-street-gamers-winter-championship-open-10-r2,https://owcdn.net/img/61679a1bab823.png
44,Built By Gamers Academy,Soniqs,15,13,4d 3h ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship - Open 10,/60762/built-by-gamers-academy-vs-soniqs-nerd-street-gamers-winter-championship-open-10-r2,https://owcdn.net/img/61679a1bab823.png
45,303 Esports,TSM Academy,1,13,4d 3h ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship - Open 10,/60765/303-esports-vs-tsm-academy-nerd-street-gamers-winter-championship-open-10-r2,https://owcdn.net/img/61679a1bab823.png
46,Renegades,Lenny Time,13,1,4d 3h ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship - Open 10,/60771/renegades-vs-lenny-time-nerd-street-gamers-winter-championship-open-10-r2,https://owcdn.net/img/61679a1bab823.png
47,Team Basilisk,Project A,7,13,4d 3h ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship - Open 10,/60773/team-basilisk-vs-project-a-nerd-street-gamers-winter-championship-open-10-r2,https://owcdn.net/img/61679a1bab823.png
48,GunsForHire,Cloud9 Academy,13,7,4d 4h ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship - Open 10,/60744/gunsforhire-vs-cloud9-academy-nerd-street-gamers-winter-championship-open-10-r1,https://owcdn.net/img/61679a1bab823.png
49,Able Esports,Pioneers,8,13,4d 4h ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship - Open 10,/60745/able-esports-vs-pioneers-nerd-street-gamers-winter-championship-open-10-r1,https://owcdn.net/img/61679a1bab823.png
0,Built By Gamers Academy,Oni Fans,13,7,4d 4h ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship - Open 10,/60746/built-by-gamers-academy-vs-oni-fans-nerd-street-gamers-winter-championship-open-10-r1,https://owcdn.net/img/61679a1bab823.png
1,Kowareta,Soniqs,4,13,4d 4h ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship - Open 10,/60747/kowareta-vs-soniqs-nerd-street-gamers-winter-championship-open-10-r1,https://owcdn.net/img/61679a1bab823.png
2,TSM Academy,SUPER SQUAD,13,4,4d 4h ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship - Open 10,/60749/tsm-academy-vs-super-squad-nerd-street-gamers-winter-championship-open-10-r1,https://owcdn.net/img/61679a1bab823.png
3,VIRTUOSO,Betrayed's Fantasy Team,5,13,4d 4h ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship - Open 10,/60753/virtuoso-vs-betrayeds-fantasy-team-nerd-street-gamers-winter-championship-open-10-r1,https://owcdn.net/img/61679a1bab823.png
4,Team Reckaroo,Renegades,12,14,4d 4h ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship - Open 10,/60754/team-reckaroo-vs-renegades-nerd-street-gamers-winter-championship-open-10-r1,https://owcdn.net/img/61679a1bab823.png
5,Surreal Esports,Galakticos,13,11,4d 7h ago,Group Stage-Group A,Open Fire Legacy,/60710/surreal-esports-vs-galakticos-open-fire-legacy-group-stage-group-a,https://owcdn.net/img/60faced0e30b5.png
6,Fire Flux Young,Eternal Fire,13,15,4d 8h ago,Group Stage-Group A,Open Fire Legacy,/60709/fire-flux-young-vs-eternal-fire-open-fire-legacy-group-stage-group-a,https://owcdn.net/img/60faced0e30b5.png
7,Kafalar eSports,OtherSide,13,10,4d 9h ago,Group Stage-Group A,Open Fire Legacy,/60708/kafalar-esports-vs-otherside-open-fire-legacy-group-stage-group-a,https://owcdn.net/img/60faced0e30b5.png
8,Fire Flux Young,Surreal Esports,17,15,4d 11h ago,Group Stage-Group A,Open Fire Legacy,/60707/fire-flux-young-vs-surreal-esports-open-fire-legacy-group-stage-group-a,https://owcdn.net/img/60faced0e30b5.png
9,Kafalar eSports,Galakticos,5,13,4d 12h ago,Group Stage-Group A,Open Fire Legacy,/60706/kafalar-esports-vs-galakticos-open-fire-legacy-group-stage-group-a,https://owcdn.net/img/60faced0e30b5.png
10,OtherSide,Eternal Fire,2,13,4d 12h ago,Group Stage-Group A,Open Fire Legacy,/60705/otherside-vs-eternal-fire-open-fire-legacy-group-stage-group-a,https://owcdn.net/img/60faced0e30b5.png
11,Enigma Gaming,Alter Ego,0,2,4d 15h ago,Playoffs-Upper Semifinals,The Esports Club - Challenger Series 6,/56820/enigma-gaming-vs-alter-ego-the-esports-club-challenger-series-6-ubsf,https://owcdn.net/img/61b930626ebac.png
12,Morph Impact,Action PH,0,2,4d 18h ago,Playoffs-Upper Semifinals,The Esports Club - Challenger Series 6,/56819/morph-impact-vs-action-ph-the-esports-club-challenger-series-6-ubsf,https://owcdn.net/img/61b930626ebac.png
13,Vietnamese Curry,ex-Serenity Black,0,2,5d 3h ago,Playoffs-Grand Final,Frag Valorant Major - Fullerton,/60394/vietnamese-curry-vs-ex-serenity-black-frag-valorant-major-fullerton-gf,https://owcdn.net/img/61b9b4ea49bc0.png
14,Booster Seat Gaming,On The Way,0,2,5d 4h ago,Playoffs-Grand Final,Frag Valorant Major - Philadelphia,/60330/booster-seat-gaming-vs-on-the-way-frag-valorant-major-philadelphia-gf,https://owcdn.net/img/61b9b4ea49bc0.png
15,Vietnamese Curry,Minaweebs Money Crew,2,0,5d 6h ago,Playoffs-Semifinals,Frag Valorant Major - Fullerton,/60392/vietnamese-curry-vs-minaweebs-money-crew-frag-valorant-major-fullerton-sf,https://owcdn.net/img/61b9b4ea49bc0.png
16,ex-Serenity Black,Zero MarksMen Black,2,0,5d 6h ago,Playoffs-Semifinals,Frag Valorant Major - Fullerton,/60393/ex-serenity-black-vs-zero-marksmen-black-frag-valorant-major-fullerton-sf,https://owcdn.net/img/61b9b4ea49bc0.png
17,Soniqs,On The Way,1,2,5d 7h ago,Playoffs-Semifinals,Frag Valorant Major - Philadelphia,/60329/soniqs-vs-on-the-way-frag-valorant-major-philadelphia-sf,https://owcdn.net/img/61b9b4ea49bc0.png
18,1907 Fenerbahçe Esports,Team Demiral Esports,13,8,5d 7h ago,Group Stage-Group B,Open Fire Legacy,/60480/1907-fenerbah-e-esports-vs-team-demiral-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
19,Futbolist,Regnum Carya Esports,13,8,5d 8h ago,Group Stage-Group B,Open Fire Legacy,/60479/futbolist-vs-regnum-carya-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
20,Vietnamese Curry,Froggers,2,1,5d 9h ago,Playoffs-Quarterfinals,Frag Valorant Major - Fullerton,/60388/vietnamese-curry-vs-froggers-frag-valorant-major-fullerton-qf,https://owcdn.net/img/61b9b4ea49bc0.png
21,RatTurtleSquid,Minaweebs Money Crew,0,2,5d 9h ago,Playoffs-Quarterfinals,Frag Valorant Major - Fullerton,/60389/ratturtlesquid-vs-minaweebs-money-crew-frag-valorant-major-fullerton-qf,https://owcdn.net/img/61b9b4ea49bc0.png
22,Mustache Men,ex-Serenity Black,0,2,5d 9h ago,Playoffs-Quarterfinals,Frag Valorant Major - Fullerton,/60390/mustache-men-vs-ex-serenity-black-frag-valorant-major-fullerton-qf,https://owcdn.net/img/61b9b4ea49bc0.png
23,The Guard,Zero MarksMen Black,0,2,5d 9h ago,Playoffs-Quarterfinals,Frag Valorant Major - Fullerton,/60391/the-guard-vs-zero-marksmen-black-frag-valorant-major-fullerton-qf,https://owcdn.net/img/61b9b4ea49bc0.png
24,Besiktas Esports,Thunderbolts Gaming,10,13,5d 9h ago,Group Stage-Group B,Open Fire Legacy,/60478/besiktas-esports-vs-thunderbolts-gaming-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
25,Activat3D Esports,Invicta Gaming,1,3,5d 10h ago,Playoffs-Grand Final,PLE.GG Valorant Nations Circuit Season 2,/60197/activat3d-esports-vs-invicta-gaming-ple-gg-valorant-nations-circuit-season-2-gf,https://owcdn.net/img/60ce924d5568b.png
26,Booster Seat Gaming,Team NAME,2,0,5d 10h ago,Playoffs-Semifinals,Frag Valorant Major - Philadelphia,/60328/booster-seat-gaming-vs-team-name-frag-valorant-major-philadelphia-sf,https://owcdn.net/img/61b9b4ea49bc0.png
27,Regnum Carya Esports,1907 Fenerbahçe Esports,13,5,5d 10h ago,Group Stage-Group B,Open Fire Legacy,/60477/regnum-carya-esports-vs-1907-fenerbah-e-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
28,Futbolist,Besiktas Esports,13,3,5d 11h ago,Group Stage-Group B,Open Fire Legacy,/60476/futbolist-vs-besiktas-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
29,GiefKalash,GOODFOR1,2, 0,5d 12h ago,Playoffs-Grand Final,Average Jonas Winter Nations Cup,/60461/giefkalash-vs-goodfor1-average-jonas-winter-nations-cup-playoffs-gf,https://owcdn.net/img/617d862cafe80.png
30,Thunderbolts Gaming,Team Demiral Esports,9,13,5d 12h ago,Group Stage-Group B,Open Fire Legacy,/60475/thunderbolts-gaming-vs-team-demiral-esports-open-fire-legacy-group-stage-group-b,https://owcdn.net/img/60faced0e30b5.png
31,EZ KATKA,SMARACIS eSports,2,0,5d 14h ago,Playoffs-Grand Final,VERSUS LEGENDS III,/59543/ez-katka-vs-smaracis-esports-versus-legends-iii-playoffs-gf,https://owcdn.net/img/6006e665548ae.png
32,Fallen5,FS Esports,2, 0,5d 15h ago,Playoffs-Lower Round 1,The Esports Club - Challenger Series 6,/56824/fallen5-vs-fs-esports-the-esports-club-challenger-series-6-lr1,https://owcdn.net/img/61b930626ebac.png
33,Team Exploit,Global Esports,1,2,5d 19h ago,Playoffs-Lower Round 1,The Esports Club - Challenger Series 6,/56823/team-exploit-vs-global-esports-the-esports-club-challenger-series-6-lr1,https://owcdn.net/img/61b930626ebac.png
34,Kingsmen,Bleed eSports,0,2,5d 20h ago,Main Event-Grand Final,Bleed eSports Christmas Showdown,/60425/kingsmen-vs-bleed-esports-bleed-esports-christmas-showdown-main-event-gf,https:/img/vlr/tmp/vlr.png
35,The Reaper,Bleed eSports,0,2,5d 22h ago,Main Event-Semifinals,Bleed eSports Christmas Showdown,/60424/the-reaper-vs-bleed-esports-bleed-esports-christmas-showdown-main-event-sf,https:/img/vlr/tmp/vlr.png
36,Froggers,Shopify Rebellion,2,0,5d 23h ago,Playoffs-Round of 16,Frag Valorant Major - Fullerton,/60381/froggers-vs-shopify-rebellion-frag-valorant-major-fullerton-ro16,https://owcdn.net/img/61b9b4ea49bc0.png
37,Just happy to be here,RatTurtleSquid,0,2,5d 23h ago,Playoffs-Round of 16,Frag Valorant Major - Fullerton,/60382/just-happy-to-be-here-vs-ratturtlesquid-frag-valorant-major-fullerton-ro16,https://owcdn.net/img/61b9b4ea49bc0.png
38,Minaweebs Money Crew,RANK G,2,1,5d 23h ago,Playoffs-Round of 16,Frag Valorant Major - Fullerton,/60383/minaweebs-money-crew-vs-rank-g-frag-valorant-major-fullerton-ro16,https://owcdn.net/img/61b9b4ea49bc0.png
39,ex-Serenity Black,swag and friends,2,0,5d 23h ago,Playoffs-Round of 16,Frag Valorant Major - Fullerton,/60385/ex-serenity-black-vs-swag-and-friends-frag-valorant-major-fullerton-ro16,https://owcdn.net/img/61b9b4ea49bc0.png
40,Zero MarksMen Black,Team Reckaroo,2,0,5d 23h ago,Playoffs-Round of 16,Frag Valorant Major - Fullerton,/60387/zero-marksmen-black-vs-team-reckaroo-frag-valorant-major-fullerton-ro16,https://owcdn.net/img/61b9b4ea49bc0.png
41,The Guard,Christians Rottweilers,2,0,5d 23h ago,Playoffs-Round of 16,Frag Valorant Major - Fullerton,/60380/the-guard-vs-christians-rottweilers-frag-valorant-major-fullerton-ro16,https://owcdn.net/img/61b9b4ea49bc0.png
42,Huat Zai,Kingsmen,0,2,6d 0h ago,Main Event-Semifinals,Bleed eSports Christmas Showdown,/60423/huat-zai-vs-kingsmen-bleed-esports-christmas-showdown-main-event-sf,https:/img/vlr/tmp/vlr.png
43,RANK G,Zero MarksMen Black,14,16,6d 0h ago,Group Stage-Round 3,Frag Valorant Major - Fullerton,/60377/rank-g-vs-zero-marksmen-black-frag-valorant-major-fullerton-r3,https://owcdn.net/img/61b9b4ea49bc0.png
44,Mustache Men,FragHunters,2,0,6d 1h ago,Playoffs-Round of 16,Frag Valorant Major - Fullerton,/60384/mustache-men-vs-fraghunters-frag-valorant-major-fullerton-ro16,https://owcdn.net/img/61b9b4ea49bc0.png
45,Team Reckaroo,Minaweebs Money Crew,1,13,6d 1h ago,Group Stage-Round 2,Frag Valorant Major - Fullerton,/60373/team-reckaroo-vs-minaweebs-money-crew-frag-valorant-major-fullerton-r2,https://owcdn.net/img/61b9b4ea49bc0.png
46,Vietnamese Curry,Rice Burrito,2,0,6d 2h ago,Playoffs-Round of 16,Frag Valorant Major - Fullerton,/60386/vietnamese-curry-vs-rice-burrito-frag-valorant-major-fullerton-ro16,https://owcdn.net/img/61b9b4ea49bc0.png
47,West Coast Demons,RANK G,3,13,6d 2h ago,Group Stage-Round 1,Frag Valorant Major - Fullerton,/60365/west-coast-demons-vs-rank-g-frag-valorant-major-fullerton-r1,https://owcdn.net/img/61b9b4ea49bc0.png
48,Booster Seat Gaming,Bad Boy Crew,2,1,6d 3h ago,Playoffs-Quarterfinals,Frag Valorant Major - Philadelphia,/60324/booster-seat-gaming-vs-bad-boy-crew-frag-valorant-major-philadelphia-qf,https://owcdn.net/img/61b9b4ea49bc0.png
49,Team NAME,Jays Finest,2,0,6d 3h ago,Playoffs-Quarterfinals,Frag Valorant Major - Philadelphia,/60325/team-name-vs-jays-finest-frag-valorant-major-philadelphia-qf,https://owcdn.net/img/61b9b4ea49bc0.png
